abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
['Overgrow'; 'Chlorophyll'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,318,45,Seed PokÃ©mon,49,1059860,0.7,45,Fushigidaneãƒ•ã‚·ã‚®ãƒ€ãƒ,Bulbasaur,88.1,1,65,65,45,grass,poison,6.9,1,0
['Overgrow'; 'Chlorophyll'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,5120,70,405,45,Seed PokÃ©mon,63,1059860,1,60,Fushigisouãƒ•ã‚·ã‚®ã‚½ã‚¦,Ivysaur,88.1,2,80,80,60,grass,poison,13,1,0
['Overgrow'; 'Chlorophyll'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,5120,70,625,45,Seed PokÃ©mon,123,1059860,2,80,Fushigibanaãƒ•ã‚·ã‚®ãƒãƒŠ,Venusaur,88.1,3,122,120,80,grass,poison,100,1,0
['Blaze'; 'Solar Power'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,Lizard PokÃ©mon,43,1059860,0.6,39,Hitokageãƒ’ãƒˆã‚«ã‚²,Charmander,88.1,4,60,50,65,fire,,8.5,1,0
['Blaze'; 'Solar Power'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,Flame PokÃ©mon,58,1059860,1.1,58,Lizardoãƒªã‚¶ãƒ¼ãƒ‰,Charmeleon,88.1,5,80,65,80,fire,,19,1,0
['Blaze'; 'Solar Power'],0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,5120,70,634,45,Flame PokÃ©mon,78,1059860,1.7,78,Lizardonãƒªã‚¶ãƒ¼ãƒ‰ãƒ³,Charizard,88.1,6,159,115,100,fire,flying,90.5,1,0
['Torrent'; 'Rain Dish'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,314,45,Tiny Turtle PokÃ©mon,65,1059860,0.5,44,Zenigameã‚¼ãƒ‹ã‚¬ãƒ¡,Squirtle,88.1,7,50,64,43,water,,9,1,0
['Torrent'; 'Rain Dish'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,5120,70,405,45,Turtle PokÃ©mon,80,1059860,1,59,Kameilã‚«ãƒ¡ãƒ¼ãƒ«,Wartortle,88.1,8,65,80,58,water,,22.5,1,0
['Torrent'; 'Rain Dish'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,5120,70,630,45,Shellfish PokÃ©mon,120,1059860,1.6,79,Kamexã‚«ãƒ¡ãƒƒã‚¯ã‚¹,Blastoise,88.1,9,135,115,78,water,,85.5,1,0
['Shield Dust'; 'Run Away'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,255,Worm PokÃ©mon,35,1000000,0.3,45,Caterpieã‚­ãƒ£ã‚¿ãƒ”ãƒ¼,Caterpie,50,10,20,20,45,bug,,2.9,1,0
['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,3840,70,205,120,Cocoon PokÃ©mon,55,1000000,0.7,50,Transelãƒˆãƒ©ãƒ³ã‚»ãƒ«,Metapod,50,11,25,25,30,bug,,9.9,1,0
['Compoundeyes'; 'Tinted Lens'],0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3840,70,395,45,Butterfly PokÃ©mon,50,1000000,1.1,60,Butterfreeãƒã‚¿ãƒ•ãƒªãƒ¼,Butterfree,50,12,90,80,70,bug,flying,32,1,0
['Shield Dust'; 'Run Away'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,3840,70,195,255,Hairy PokÃ©mon,30,1000000,0.3,40,Beedleãƒ“ãƒ¼ãƒ‰ãƒ«,Weedle,50,13,20,20,50,bug,poison,3.2,1,0
['Shed Skin'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,3840,70,205,120,Cocoon PokÃ©mon,50,1000000,0.6,45,Cocoonã‚³ã‚¯ãƒ¼ãƒ³,Kakuna,50,14,25,25,35,bug,poison,10,1,0
['Swarm'; 'Sniper'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,3840,70,495,45,Poison Bee PokÃ©mon,40,1000000,1,65,Spearã‚¹ãƒ”ã‚¢ãƒ¼,Beedrill,50,15,15,80,145,bug,poison,29.5,1,0
