abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
['Overgrow'; 'Shell Armor'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,68,5120,70,318,45,Tiny Leaf PokÃ©mon,64,1059860,0.4,55,NaetleãƒŠã‚¨ãƒˆãƒ«,Turtwig,88.1,387,45,55,31,grass,,10.2,4,0
['Overgrow'; 'Shell Armor'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,89,5120,70,405,45,Grove PokÃ©mon,85,1059860,1.1,75,Hayashigameãƒãƒ¤ã‚·ã‚¬ãƒ¡,Grotle,88.1,388,55,65,36,grass,,97,4,0
['Overgrow'; 'Shell Armor'],2,1,1,0,1,1,2,2,1,1,0.5,4,1,1,1,0.5,1,1,109,5120,70,525,45,Continent PokÃ©mon,105,1059860,2.2,95,Dodaitoseãƒ‰ãƒ€ã‚¤ãƒˆã‚¹,Torterra,88.1,389,75,85,56,grass,ground,310,4,0
['Blaze'; 'Iron Fist'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,58,5120,70,309,45,Chimp PokÃ©mon,44,1059860,0.5,44,Hikozaruãƒ’ã‚³ã‚¶ãƒ«,Chimchar,88.1,390,58,44,61,fire,,6.2,4,0
['Blaze'; 'Iron Fist'],0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,78,5120,70,405,45,Playful PokÃ©mon,52,1059860,0.9,64,Moukazaruãƒ¢ã‚¦ã‚«ã‚¶ãƒ«,Monferno,88.1,391,78,52,81,fire,fighting,22,4,0
['Blaze'; 'Iron Fist'],0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,104,5120,70,534,45,Flame PokÃ©mon,71,1059860,1.2,76,Goukazaruã‚´ã‚¦ã‚«ã‚¶ãƒ«,Infernape,88.1,392,104,71,108,fire,fighting,55,4,0
['Torrent'; 'Defiant'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,51,5120,70,314,45,Penguin PokÃ©mon,53,1059860,0.4,53,Pochamaãƒãƒƒãƒãƒ£ãƒž,Piplup,88.1,393,61,56,40,water,,5.2,4,0
['Torrent'; 'Defiant'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,66,5120,70,405,45,Penguin PokÃ©mon,68,1059860,0.8,64,Pottaishiãƒãƒƒã‚¿ã‚¤ã‚·,Prinplup,88.1,394,81,76,50,water,,23,4,0
['Torrent'; 'Defiant'],0.5,1,0.5,2,0.5,2,1,0.5,1,1,2,0.25,0.5,0,0.5,0.5,0.25,0.5,86,5120,70,530,45,Emperor PokÃ©mon,88,1059860,1.7,84,Emperteã‚¨ãƒ³ãƒšãƒ«ãƒˆ,Empoleon,88.1,395,111,101,60,water,steel,84.5,4,0
['Keen Eye'; 'Reckless'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,55,3840,70,245,255,Starling PokÃ©mon,30,1059860,0.3,40,Mukkuruãƒ ãƒƒã‚¯ãƒ«,Starly,50,396,30,30,60,normal,flying,2,4,0
