abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
['Overgrow'; 'Leaf Guard'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,49,5120,70,318,45,Leaf PokÃ©mon,65,1059860,0.9,45,Chicoritaãƒã‚³ãƒªãƒ¼ã‚¿,Chikorita,88.1,152,49,65,45,grass,,6.4,2,0
['Overgrow'; 'Leaf Guard'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,62,5120,70,405,45,Leaf PokÃ©mon,80,1059860,1.2,60,Bayleafãƒ™ã‚¤ãƒªãƒ¼ãƒ•,Bayleef,88.1,153,63,80,60,grass,,15.8,2,0
['Overgrow'; 'Leaf Guard'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,82,5120,70,525,45,Herb PokÃ©mon,100,1059860,1.8,80,Meganiumãƒ¡ã‚¬ãƒ‹ã‚¦ãƒ ,Meganium,88.1,154,83,100,80,grass,,100.5,2,0
['Blaze'; 'Flash Fire'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,Fire Mouse PokÃ©mon,43,1059860,0.5,39,Hinoarashiãƒ’ãƒŽã‚¢ãƒ©ã‚·,Cyndaquil,88.1,155,60,50,65,fire,,7.9,2,0
['Blaze'; 'Flash Fire'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,Volcano PokÃ©mon,58,1059860,0.9,58,Magmarashiãƒžã‚°ãƒžãƒ©ã‚·,Quilava,88.1,156,80,65,80,fire,,19,2,0
['Blaze'; 'Flash Fire'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,84,5120,70,534,45,Volcano PokÃ©mon,78,1059860,1.7,78,Bakphoonãƒã‚¯ãƒ•ãƒ¼ãƒ³,Typhlosion,88.1,157,109,85,100,fire,,79.5,2,0
['Torrent'; 'Sheer Force'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,314,45,Big Jaw PokÃ©mon,64,1059860,0.6,50,Waninokoãƒ¯ãƒ‹ãƒŽã‚³,Totodile,88.1,158,44,48,43,water,,9.5,2,0
['Torrent'; 'Sheer Force'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,5120,70,405,45,Big Jaw PokÃ©mon,80,1059860,1.1,65,Alligatesã‚¢ãƒªã‚²ã‚¤ãƒ„,Croconaw,88.1,159,59,63,58,water,,25,2,0
['Torrent'; 'Sheer Force'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,530,45,Big Jaw PokÃ©mon,100,1059860,2.3,85,Ordileã‚ªãƒ¼ãƒ€ã‚¤ãƒ«,Feraligatr,88.1,160,79,83,78,water,,88.8,2,0
['Run Away'; 'Keen Eye'; 'Frisk'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,46,3840,70,215,255,Scout PokÃ©mon,34,1000000,0.8,35,Otachiã‚ªã‚¿ãƒ,Sentret,50,161,35,45,20,normal,,6,2,0
