abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
['Victory Star'],1,2,1,1,0.5,0.5,0.5,1,2,0.5,2,0.5,1,1,0.5,2,0.5,2,100,30720,100,600,3,Victory PokÃ©mon,100,1250000,0.4,100,Victiniãƒ“ã‚¯ãƒ†ã‚£ãƒ‹,Victini,,494,100,100,100,psychic,fire,4,5,1
['Overgrow'; 'Contrary'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5120,70,308,45,Grass Snake PokÃ©mon,55,1059860,0.6,45,Tsutarjaãƒ„ã‚¿ãƒ¼ã‚¸ãƒ£,Snivy,88.1,495,45,55,63,grass,,8.1,5,0
['Overgrow'; 'Contrary'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,60,5120,70,413,45,Grass Snake PokÃ©mon,75,1059860,0.8,60,Janovyã‚¸ãƒ£ãƒŽãƒ“ãƒ¼,Servine,88.1,496,60,75,83,grass,,16,5,0
['Overgrow'; 'Contrary'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,5120,70,528,45,Regal PokÃ©mon,95,1059860,3.3,75,Jalordaã‚¸ãƒ£ãƒ­ãƒ¼ãƒ€,Serperior,88.1,497,75,95,113,grass,,63,5,0
['Blaze'; 'Thick Fat'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,63,5120,70,308,45,Fire Pig PokÃ©mon,45,1059860,0.5,65,Pokabuãƒã‚«ãƒ–,Tepig,88.1,498,45,45,45,fire,,9.9,5,0
['Blaze'; 'Thick Fat'],0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,93,5120,70,418,45,Fire Pig PokÃ©mon,55,1059860,1,90,Chaobooãƒãƒ£ã‚ªãƒ–ãƒ¼,Pignite,88.1,499,70,55,55,fire,fighting,55.5,5,0
['Blaze'; 'Reckless'],0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,123,5120,70,528,45,Mega Fire Pig PokÃ©mon,65,1059860,1.6,110,Enbuohã‚¨ãƒ³ãƒ–ã‚ªãƒ¼,Emboar,88.1,500,100,65,65,fire,fighting,150,5,0
['Torrent'; 'Shell Armor'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,55,5120,70,308,45,Sea Otter PokÃ©mon,45,1059860,0.5,55,MijumaruãƒŸã‚¸ãƒ¥ãƒžãƒ«,Oshawott,88.1,501,63,45,45,water,,5.9,5,0
['Torrent'; 'Shell Armor'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,5120,70,413,45,Discipline PokÃ©mon,60,1059860,0.8,75,Futachimaruãƒ•ã‚¿ãƒãƒžãƒ«,Dewott,88.1,502,83,60,60,water,,24.5,5,0
['Torrent'; 'Shell Armor'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,100,5120,70,528,45,Formidable PokÃ©mon,85,1059860,1.5,95,Daikenkiãƒ€ã‚¤ã‚±ãƒ³ã‚­,Samurott,88.1,503,108,70,70,water,,94.6,5,0
['Run Away'; 'Keen Eye'; 'Analytic'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,3840,70,255,255,Scout PokÃ©mon,39,1000000,0.5,45,MinezumiãƒŸãƒã‚ºãƒŸ,Patrat,50,504,35,39,42,normal,,11.6,5,0
['Illuminate'; 'Keen Eye'; 'Analytic'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,85,5120,70,420,255,Lookout PokÃ©mon,69,1000000,1.1,60,MiruhogãƒŸãƒ«ãƒ›ãƒƒã‚°,Watchog,50,505,60,69,77,normal,,27,5,0
['Vital Spirit'; 'Pickup'; 'Run Away'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,3840,70,275,255,Puppy PokÃ©mon,45,1059860,0.4,45,Yorterrieãƒ¨ãƒ¼ãƒ†ãƒªãƒ¼,Lillipup,50,506,25,45,55,normal,,4.1,5,0
['Intimidate'; 'Sand Rush'; 'Scrappy'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,3840,70,370,120,Loyal Dog PokÃ©mon,65,1059860,0.9,65,Herderrieãƒãƒ¼ãƒ‡ãƒªã‚¢,Herdier,50,507,35,65,60,normal,,14.7,5,0
['Intimidate'; 'Sand Rush'; 'Scrappy'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,110,3840,70,500,45,Big-Hearted PokÃ©mon,90,1059860,1.2,85,Moolandãƒ ãƒ¼ãƒ©ãƒ³ãƒ‰,Stoutland,50,508,45,90,80,normal,,61,5,0
['Limber'; 'Unburden'; 'Prankster'],2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,50,5120,70,281,255,Devious PokÃ©mon,37,1000000,0.4,41,Choronekoãƒãƒ§ãƒ­ãƒã‚³,Purrloin,50,509,50,37,66,dark,,10.1,5,0
['Limber'; 'Unburden'; 'Prankster'],2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,88,5120,70,446,90,Cruel PokÃ©mon,50,1000000,1.1,64,Lepardasãƒ¬ãƒ‘ãƒ«ãƒ€ã‚¹,Liepard,50,510,88,50,106,dark,,37.5,5,0
['Gluttony'; 'Overgrow'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,53,5120,70,316,190,Grass Monkey PokÃ©mon,48,1000000,0.6,50,Yanappuãƒ¤ãƒŠãƒƒãƒ—,Pansage,88.1,511,53,48,64,grass,,10.5,5,0
['Gluttony'; 'Overgrow'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,98,5120,70,498,75,Thorn Monkey PokÃ©mon,63,1000000,1.1,75,Yanakkieãƒ¤ãƒŠãƒƒã‚­ãƒ¼,Simisage,88.1,512,98,63,101,grass,,30.5,5,0
['Gluttony'; 'Blaze'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,53,5120,70,316,190,High Temp PokÃ©mon,48,1000000,0.6,50,Baoppuãƒã‚ªãƒƒãƒ—,Pansear,88.1,513,53,48,64,fire,,11,5,0
['Gluttony'; 'Blaze'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,98,5120,70,498,75,Ember PokÃ©mon,63,1000000,1,75,Baokkieãƒã‚ªãƒƒã‚­ãƒ¼,Simisear,88.1,514,98,63,101,fire,,28,5,0
['Gluttony'; 'Torrent'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,53,5120,70,316,190,Spray PokÃ©mon,48,1000000,0.6,50,Hiyappuãƒ’ãƒ¤ãƒƒãƒ—,Panpour,88.1,515,53,48,64,water,,13.5,5,0
['Gluttony'; 'Torrent'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,98,5120,70,498,75,Geyser PokÃ©mon,63,1000000,1,75,Hiyakkieãƒ’ãƒ¤ãƒƒã‚­ãƒ¼,Simipour,88.1,516,98,63,101,water,,29,5,0
['Forewarn'; 'Synchronize'; 'Telepathy'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,25,2560,70,292,190,Dream Eater PokÃ©mon,45,800000,0.6,76,Munnaãƒ ãƒ³ãƒŠ,Munna,50,517,67,55,24,psychic,,23.3,5,0
['Forewarn'; 'Synchronize'; 'Telepathy'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,55,2560,70,487,75,Drowsing PokÃ©mon,85,800000,1.1,116,Musharnaãƒ ã‚·ãƒ£ãƒ¼ãƒŠ,Musharna,50,518,107,95,29,psychic,,60.5,5,0
['Big Pecks'; 'Super Luck'; 'Rivalry'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,55,3840,70,264,255,Tiny Pigeon PokÃ©mon,50,1059860,0.3,50,Mamepatoãƒžãƒ¡ãƒ‘ãƒˆ,Pidove,50,519,36,30,43,normal,flying,2.1,5,0
['Big Pecks'; 'Super Luck'; 'Rivalry'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,77,3840,70,358,120,Wild Pigeon PokÃ©mon,62,1059860,0.6,62,Hatobohãƒãƒˆãƒ¼ãƒœãƒ¼,Tranquill,50,520,50,42,65,normal,flying,15,5,0
['Big Pecks'; 'Super Luck'; 'Rivalry'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,115,3840,70,488,45,Proud PokÃ©mon,80,1059860,1.2,80,Kenhallowã‚±ãƒ³ãƒ›ãƒ­ã‚¦,Unfezant,50,521,65,55,93,normal,flying,29,5,0
['Lightningrod'; 'Motor Drive'; 'Sap Sipper'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,60,5120,70,295,190,Electrified PokÃ©mon,32,1000000,0.8,45,Shimamaã‚·ãƒžãƒž,Blitzle,50,522,50,32,76,electric,,29.8,5,0
['Lightningrod'; 'Motor Drive'; 'Sap Sipper'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,100,5120,70,497,75,Thunderbolt PokÃ©mon,63,1000000,1.6,75,Zebraikaã‚¼ãƒ–ãƒ©ã‚¤ã‚«,Zebstrika,50,523,80,63,116,electric,,79.5,5,0
['Sturdy'; 'Weak Armor'; 'Sand Force'],1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,75,3840,70,280,255,Mantle PokÃ©mon,85,1059860,0.4,55,Dangoroãƒ€ãƒ³ã‚´ãƒ­,Roggenrola,50,524,25,25,15,rock,,18,5,0
['Sturdy'; 'Weak Armor'; 'Sand Force'],1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,105,3840,70,390,120,Ore PokÃ©mon,105,1059860,0.9,70,Gantleã‚¬ãƒ³ãƒˆãƒ«,Boldore,50,525,50,40,20,rock,,102,5,0
['Sturdy'; 'Sand Stream'; 'Sand Force'],1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,135,3840,70,515,45,Compressed PokÃ©mon,130,1059860,1.7,85,Gigaiathã‚®ã‚¬ã‚¤ã‚¢ã‚¹,Gigalith,50,526,60,80,25,rock,,260,5,0
['Unaware'; 'Klutz'; 'Simple'],1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,45,3840,70,323,190,Bat PokÃ©mon,43,1000000,0.4,65,Koromoriã‚³ãƒ­ãƒ¢ãƒª,Woobat,50,527,55,43,72,psychic,flying,2.1,5,0
['Unaware'; 'Klutz'; 'Simple'],1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,57,3840,70,425,45,Courting PokÃ©mon,55,1000000,0.9,67,Kokoromoriã‚³ã‚³ãƒ­ãƒ¢ãƒª,Swoobat,50,528,77,55,114,psychic,flying,10.5,5,0
['Sand Rush'; 'Sand Force'; 'Mold Breaker'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,85,5120,70,328,120,Mole PokÃ©mon,40,1000000,0.3,60,Mogurewãƒ¢ã‚°ãƒªãƒ¥ãƒ¼,Drilbur,50,529,30,45,68,ground,,8.5,5,0
['Sand Rush'; 'Sand Force'; 'Mold Breaker'],0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,135,5120,70,508,60,Subterrene PokÃ©mon,60,1000000,0.7,110,Doryuzuãƒ‰ãƒªãƒ¥ã‚¦ã‚º,Excadrill,50,530,50,65,88,ground,steel,40.4,5,0
