abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
['Overgrow'; 'Unburden'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5120,70,310,45,Wood Gecko PokÃ©mon,35,1059860,0.5,40,Kimoriã‚­ãƒ¢ãƒª,Treecko,88.1,252,65,55,70,grass,,5,3,0
['Overgrow'; 'Unburden'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,65,5120,70,405,45,Wood Gecko PokÃ©mon,45,1059860,0.9,50,Juptileã‚¸ãƒ¥ãƒ—ãƒˆãƒ«,Grovyle,88.1,253,85,65,95,grass,,21.6,3,0
['Overgrow'; 'Unburden'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,110,5120,70,630,45,Forest PokÃ©mon,75,1059860,1.7,70,Jukainã‚¸ãƒ¥ã‚«ã‚¤ãƒ³,Sceptile,88.1,254,145,85,145,grass,,52.2,3,0
['Blaze'; 'Speed Boost'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,60,5120,70,310,45,Chick PokÃ©mon,40,1059860,0.4,45,Achamoã‚¢ãƒãƒ£ãƒ¢,Torchic,88.1,255,70,50,45,fire,,2.5,3,0
['Blaze'; 'Speed Boost'],0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,85,5120,70,405,45,Young Fowl PokÃ©mon,60,1059860,0.9,60,Wakasyamoãƒ¯ã‚«ã‚·ãƒ£ãƒ¢,Combusken,88.1,256,85,60,55,fire,fighting,19.5,3,0
['Blaze'; 'Speed Boost'],0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,160,5120,70,630,45,Blaze PokÃ©mon,80,1059860,1.9,80,Bursyamoãƒã‚·ãƒ£ãƒ¼ãƒ¢,Blaziken,88.1,257,130,80,100,fire,fighting,52,3,0
['Torrent'; 'Damp'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,5120,70,310,45,Mud Fish PokÃ©mon,50,1059860,0.4,50,MizugorouãƒŸã‚ºã‚´ãƒ­ã‚¦,Mudkip,88.1,258,50,50,40,water,,7.6,3,0
['Torrent'; 'Damp'],1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,85,5120,70,405,45,Mud Fish PokÃ©mon,70,1059860,0.7,70,NumacrawãƒŒãƒžã‚¯ãƒ­ãƒ¼,Marshtomp,88.1,259,60,70,50,water,ground,28,3,0
['Torrent'; 'Damp'],1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,150,5120,70,635,45,Mud Fish PokÃ©mon,110,1059860,1.5,100,Laglargeãƒ©ã‚°ãƒ©ãƒ¼ã‚¸,Swampert,88.1,260,95,110,70,water,ground,81.9,3,0
['Run Away'; 'Quick Feet'; 'Rattled'],2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,55,3840,70,220,255,Bite PokÃ©mon,35,1000000,0.5,35,Pochienaãƒãƒã‚¨ãƒŠ,Poochyena,50,261,30,30,35,dark,,13.6,3,0
